date,Open,High,Low,Close,Volume,Moving Average_Returns,Moving Average_Equity,Moving Average_Signal,SMA_Short,SMA_Long,Equity_Curve,RSI_Returns,RSI_Equity,RSI_Signal,RSI,Breakout Range_Returns,Breakout Range_Equity,Breakout Range_Signal,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Returns,Bollinger Bands_Equity,Bollinger Bands_Signal,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2025-08-04,204.505,207.88,201.675,203.35,75109298.0,0.0,1.0,0,,,,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,,,,,,203.35,203.35
2025-08-01,210.865,213.58,201.5,202.38,104434473.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,203.35,203.35,203.35,203.35,203.35,202.38,202.38
2025-07-31,208.49,209.84,207.16,207.57,80698431.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,202.38,202.38,202.38,202.38,202.38,201.675,201.675
2025-07-30,211.895,212.39,207.72,209.05,45512514.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,207.57,207.57,207.57,207.57,207.57,201.5,201.5
2025-07-29,214.175,214.81,210.82,211.27,51411723.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,209.05,209.05,209.05,209.05,209.05,202.1534,202.1534
2025-07-28,214.03,214.845,213.06,214.05,37858017.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,211.27,211.27,211.27,211.27,211.27,203.165928,203.165928
2025-07-25,214.7,215.24,213.4,213.88,40268781.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,214.05,214.05,214.05,214.05,214.05,204.3338352,204.3338352
2025-07-24,213.9,215.69,213.53,213.76,46022620.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,213.88,213.88,213.88,213.88,213.88,205.64257497600002,205.64257497600002
2025-07-23,215.0,215.15,212.41,214.15,46989301.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,213.76,213.76,213.76,213.76,213.76,207.04921447936002,207.04921447936002
2025-07-22,213.14,214.95,212.2301,214.4,46404072.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,214.15,214.15,214.15,214.15,214.15,208.2589244522496,208.2589244522496
2025-07-21,212.1,215.78,211.63,212.48,51377434.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,214.4,214.4,214.4,214.4,214.4,209.29927502893466,209.29927502893466
2025-07-18,210.87,211.79,209.7045,211.18,48974591.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,212.48,212.48,212.48,212.48,212.48,215.78,215.78
2025-07-17,210.57,211.8,209.59,210.02,48068141.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,211.18,211.18,211.18,211.18,211.18,215.78,215.78
2025-07-16,210.295,212.4,208.64,210.16,47490532.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,4.446814285714287,210.02,203.34977857142857,223.36044285714286,216.69022142857145,196.67955714285716,215.5324,215.5324
2025-07-15,209.22,211.89,208.92,209.11,42296339.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,4.341327551020409,210.16,203.64800867346938,223.1839826530612,216.67199132653062,197.1360173469388,215.118856,215.118856
2025-07-14,209.925,210.91,207.54,208.62,38840111.0,-0.0,1.0,0,,210.339375,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,4.271947011661808,209.11,202.70207948250732,221.92584103498544,215.5179205174927,196.2941589650146,214.73012463999999,214.73012463999999
2025-07-11,210.565,212.13,209.86,211.16,39765812.0,0.0,1.0,0,,210.82750000000001,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,4.217522225114536,208.62,202.2937166623282,221.27256667534363,214.94628333767182,195.96743332465638,214.1549146688,214.1549146688
2025-07-10,210.505,213.48,210.03,212.41,44443635.0,0.0,1.0,0,210.5,211.454375,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,4.162699209034925,211.16,204.91595118644761,223.64809762710476,217.40404881355238,198.67190237289523,213.62572149529598,213.62572149529598
2025-07-09,209.53,211.33,207.22,211.14,48749367.0,-0.0,1.0,0,210.93277777777777,211.67749999999998,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,4.236077836961002,212.41,206.0558832445585,225.118233510883,218.7641167554415,199.701766489117,213.48,213.48
2025-07-08,210.1,211.43,208.45,210.01,42848928.0,-0.0,1.0,0,211.35666666666668,211.7375,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,4.1463579914637885,211.14,204.9204630128043,223.57907397439135,217.35953698719567,198.70092602560862,213.48,213.48
2025-07-07,212.68,216.23,208.8,209.95,50228984.0,-0.0,1.0,0,211.48888888888888,211.655,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,4.380903849216374,210.01,203.43864422617543,223.15271154764912,216.58135577382455,196.86728845235086,207.22,207.22
2025-07-03,212.145,214.65,211.8101,213.55,34955836.0,0.0,1.0,1,211.7388888888889,211.62375,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,4.403696431415205,209.95,203.3444553528772,223.1610892942456,216.5555446471228,196.73891070575436,207.4002,207.4002
2025-07-02,208.91,213.34,208.14,212.44,67941811.0,-0.005197845937719547,0.9948021540622805,1,211.8038888888889,211.53375,0.9948021540622805,-0.0,1.0,0,64.85779666557696,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,4.475575257742692,213.55,206.83663711338596,226.97672577322808,220.26336288661406,200.12327422677194,207.576796,207.576796
2025-07-01,206.665,210.1865,206.1401,207.82,78788867.0,-0.021747316889474733,0.973167876375556,1,211.45777777777778,211.1625,0.973167876375556,-0.0,1.0,0,57.94392523364484,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,4.6058841679039295,212.44,205.5311737481441,226.2576525037118,219.34882625185588,198.6223474962882,216.23,216.23
2025-06-30,202.01,207.39,199.2607,205.17,91912816.0,-0.012751419497642247,0.9607586045422617,1,210.97388888888887,210.60125,0.9607586045422617,-0.0,1.0,0,46.214511041009466,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,4.8882710130536475,207.82,200.48759348041952,222.48481303916094,215.15240651958047,193.15518696083905,216.028202,216.028202
2025-06-27,201.89,203.22,200.0,201.08,73188571.0,-0.01993468830725731,0.9416061812221962,1,210.26944444444445,209.76874999999998,0.9416061812221962,-0.0,1.0,0,38.38531040512972,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,4.908394512121244,205.17,197.80740823181813,219.89518353636373,212.53259176818185,190.44481646363624,215.35750192,215.35750192
2025-06-26,201.43,202.64,199.46,201.0,50799121.0,-0.00039785160135275,0.9412315616951533,1,209.5388888888889,209.05124999999998,0.9412315616951533,-0.0,1.0,0,34.037923531240295,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,1,209.6725925925926,217.52224385654733,201.82294132863785,4.784937761255439,201.08,193.90259335811686,215.43481328376635,208.25740664188316,186.72518671623368,214.7136298432,214.7136298432
2025-06-25,201.45,203.67,200.6201,201.56,39525730.0,0.0027860696517412187,0.9438538983844532,1,208.82555555555552,208.45,0.9438538983844532,0.0,1.0,0,29.148580968280484,0.0,1.0,0,,,False,False,1.0,0.0027860696517412187,1.0027860696517412,0,209.60629629629628,217.69501939865376,201.5175731939388,4.661006492594335,201.0,194.0084902611085,214.983019477783,207.9915097388915,187.016980522217,214.095512649472,214.095512649472
2025-06-24,202.59,203.44,200.2,200.3,54064033.0,-0.006251240325461316,0.9379536408335285,1,208.14888888888888,207.8425,0.9379536408335285,-0.0,1.0,0,28.125000000000043,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0027860696517412,1,209.5292592592593,217.9255793101986,201.13293920832,4.559506028837597,201.56,194.7207409567436,215.23851808651278,208.3992590432564,187.88148191348722,213.50212014349313,213.50212014349313
2025-06-23,201.625,202.3,198.96,201.5,55814272.0,0.0059910134797802606,0.9435729337391712,1,207.61111111111111,207.30125,0.9435729337391712,0.0,1.0,0,30.915317559153195,0.0,1.0,0,,,False,False,1.0,0.0059910134797802606,1.0087937745123607,0,209.30444444444444,218.20828021101295,200.40060867787594,4.4723984553491976,200.3,193.5914023169762,213.7171953660476,207.00859768302382,186.88280463395242,212.9324633377534,212.9324633377534
2025-06-20,198.235,201.7,196.855,201.0,96813542.0,-0.002481389578163795,0.9412315616951533,1,207.11,206.794375,0.9412315616951533,-0.0,1.0,0,29.599751784052103,-0.0,1.0,0,216.23,196.855,False,False,1.0,-0.0,1.0087937745123607,0,209.0062962962963,218.44716434826907,199.56542824432356,4.499012851395683,201.5,194.75148072290648,214.99703855418704,208.24851927709352,188.00296144581296,212.0941155374882,212.0941155374882
2025-06-18,195.94,197.57,195.07,196.58,45394689.0,-0.021990049751243745,0.9205338328260361,1,206.35555555555555,206.041875,0.9205338328260361,-0.0,1.0,0,25.52197802197803,-0.0,1.0,-1,216.23,195.07,False,True,1.0,-0.0,1.0087937745123607,1,208.46222222222224,218.95330108964427,197.9711433548002,4.601226219153135,201.0,194.0981606712703,214.80367865745941,207.9018393287297,187.19632134254059,210.87498629448913,210.87498629448913
2025-06-17,197.2,198.39,195.21,195.64,38856152.0,-0.004781768236850281,0.9161320533832825,1,205.60722222222225,205.07187499999998,0.9161320533832825,-0.0,1.0,0,26.228119706380568,0.004781768236850281,1.0047817682368503,0,216.23,195.07,False,False,1.0047817682368503,-0.004781768236850281,1.0039699564838653,1,207.78037037037035,219.09117606126742,196.46956467947328,4.499710060642196,196.58,189.8304349090367,210.0791301819266,203.3295650909633,183.08086981807344,209.2944876650402,209.2944876650402
2025-06-16,197.3,198.685,196.5636,198.42,43020691.0,0.014209773052545449,0.9291500819480214,1,205.04055555555556,204.1975,0.9291500819480214,0.0,1.0,0,32.71002710027098,0.0,1.0047817682368503,0,216.23,195.07,False,False,1.0047817682368503,0.014209773052545449,1.0182361417170749,0,207.20777777777778,218.7875523976447,195.62800315791085,4.395802199167754,195.64,189.04629670124837,208.82740659750326,202.2337032987516,182.45259340249672,207.87203889853618,207.87203889853618
2025-06-13,199.73,200.37,195.7,196.45,51447349.0,-0.009928434633605487,0.9199250760945913,1,204.22333333333333,203.27937500000002,0.9199250760945913,-0.0,1.0,0,32.007425086184014,-0.0,1.0047817682368503,0,216.23,195.07,False,False,1.0047817682368503,-0.0,1.0182361417170749,0,206.56666666666663,218.53462388584154,194.59870944749173,4.415387756370058,198.42,191.7969183654449,211.66616326911017,205.04308163455508,185.1738367308898,206.59183500868255,206.59183500868255
2025-06-12,199.08,199.68,197.3601,199.2,43904635.0,0.01399847289386602,0.9328026223366891,1,203.48944444444444,202.60375,0.9328026223366891,0.0,1.0,0,36.40873015873016,0.0,1.0047817682368503,0,216.23,195.07,False,False,1.0047817682368503,0.0,1.0182361417170749,0,206.01296296296297,217.90942345719446,194.11650246873148,4.330717202343626,196.45,189.95392419648454,209.44215160703087,202.94607580351544,183.4578483929691,205.4396515078143,205.4396515078143
