date,Open,High,Low,Close,Volume,Moving Average_Returns,Moving Average_Equity,Moving Average_Signal,SMA_Short,SMA_Long,Equity_Curve,RSI_Returns,RSI_Equity,RSI_Signal,RSI,Breakout Range_Returns,Breakout Range_Equity,Breakout Range_Signal,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Returns,Bollinger Bands_Equity,Bollinger Bands_Signal,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2025-08-04,50.56,51.25,50.51,50.83,624022.0,0.0,1.0,0,,,,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,,,,,,50.83,50.83
2025-08-01,51.205,51.26,50.03,50.05,2689609.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,50.83,50.83,50.83,50.83,50.83,50.05,50.05
2025-07-31,52.32,52.67,51.685,51.7,982018.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,50.05,50.05,50.05,50.05,50.05,50.03,50.03
2025-07-30,52.08,52.64,51.2602,51.77,1082114.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,51.7,51.7,51.7,51.7,51.7,50.03,50.03
2025-07-29,52.71,52.74,51.77,52.04,1101850.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,51.77,51.77,51.77,51.77,51.77,50.135600000000004,50.135600000000004
2025-07-28,52.57,52.79,52.015,52.33,1205779.0,0.0,1.0,0,,,1.0,0.0,1.0,-1,74.5098039215686,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,52.04,52.04,52.04,52.04,52.04,50.291864000000004,50.291864000000004
2025-07-25,51.52,51.895,50.95,51.77,1369356.0,-0.0,1.0,0,,,1.0,0.01070131855532186,1.0107013185553217,-1,80.28169014084521,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,52.33,52.33,52.33,52.33,52.33,50.49171488,50.49171488
2025-07-24,52.63,52.99,52.2419,52.77,1441191.0,0.0,1.0,0,,,1.0,-0.019316206297083305,0.9911784033813731,-1,74.42922374429234,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,51.77,51.77,51.77,51.77,51.77,50.675577689600004,50.675577689600004
2025-07-23,52.35,52.62,51.98,52.49,1082027.0,-0.0,1.0,0,,,1.0,0.005306045101383328,0.9964376406932318,-1,65.00000000000003,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,52.77,52.77,52.77,52.77,52.77,50.90701992064,50.90701992064
2025-07-22,52.84,53.31,52.095,52.91,1710868.0,0.0,1.0,0,,,1.0,-0.00800152409982835,0.9884646208972488,-1,67.05882352941178,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,52.49,52.49,52.49,52.49,52.49,51.115317928576005,51.115317928576005
