date,Open,High,Low,Close,Volume,Moving Average_Returns,Moving Average_Equity,Moving Average_Signal,SMA_Short,SMA_Long,Equity_Curve,RSI_Returns,RSI_Equity,RSI_Signal,RSI,Breakout Range_Returns,Breakout Range_Equity,Breakout Range_Signal,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Returns,Bollinger Bands_Equity,Bollinger Bands_Signal,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2025-08-04,33.57,35.01,33.51,34.55,3475132.0,0.0,1.0,0,,,,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,,,,,,34.55,34.55
2025-08-01,34.38,34.4,32.96,32.98,8589705.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,34.55,34.55,34.55,34.55,34.55,32.98,32.98
2025-07-31,35.8,35.97,35.15,35.17,3832020.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,32.98,32.98,32.98,32.98,32.98,32.96,32.96
2025-07-30,35.36,36.09,34.62,35.43,4908073.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,35.17,35.17,35.17,35.17,35.17,32.96,32.96
2025-07-29,36.42,36.4247,34.99,35.45,5070299.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,35.43,35.43,35.43,35.43,35.43,33.147800000000004,33.147800000000004
2025-07-28,36.25,36.45,35.35,35.78,5659013.0,0.0,1.0,0,34.89333333333334,,1.0,0.0,1.0,0,64.07322654462246,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,35.45,35.45,35.45,35.45,35.45,33.409952000000004,33.409952000000004
2025-07-25,34.95,35.09,33.95,34.32,3294187.0,-0.0,1.0,0,34.855,,1.0,-0.0,1.0,0,65.72769953051645,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,35.78,35.78,35.78,35.78,35.78,33.713956800000005,33.713956800000005
2025-07-24,34.35,35.575,34.06,35.26,5182973.0,0.0,1.0,0,35.235,,1.0,0.0,1.0,0,51.49501661129562,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,34.32,34.32,34.32,34.32,34.32,33.95,33.95
2025-07-23,34.52,34.53,33.48,33.83,4420057.0,-0.0,1.0,0,35.01166666666666,,1.0,-0.0,1.0,0,30.861244019138738,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,35.26,35.26,35.26,35.26,35.26,36.45,36.45
2025-07-22,34.87,35.365,34.18,34.59,4443420.0,0.0,1.0,0,34.87166666666667,,1.0,0.0,1.0,0,41.26016260162603,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,33.83,33.83,33.83,33.83,33.83,36.390600000000006,36.390600000000006
2025-07-21,35.75,36.405,35.08,35.24,8564859.0,0.0,1.0,0,34.836666666666666,,1.0,0.0,1.0,0,44.84732824427482,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,34.59,34.59,34.59,34.59,34.59,33.48,33.48
2025-07-18,34.19,34.67,33.29,33.52,7751263.0,-0.0,1.0,0,34.46,,1.0,-0.0,1.0,0,42.727272727272755,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,35.24,35.24,35.24,35.24,35.24,36.405,36.405
2025-07-17,32.26,32.6,31.7123,32.21,7733665.0,-0.0,1.0,0,34.108333333333334,,1.0,-0.0,1.0,0,24.020442930153365,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,33.52,33.52,33.52,33.52,33.52,36.405,36.405
2025-07-16,29.93,31.91,29.86,31.9,8561844.0,-0.0,1.0,0,33.54833333333334,,1.0,-0.0,1.0,0,29.684210526315823,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,1.7619571428571439,32.21,29.567064285714284,37.495871428571434,34.852935714285714,26.924128571428568,36.217292,36.217292
2025-07-15,28.59,29.21,27.97,28.68,5523137.0,-0.0,1.0,0,32.690000000000005,,1.0,-0.0,1.0,1,9.015256588072106,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,33.92733333333334,39.38809664994028,28.466570016726394,1.9168173469387764,31.9,29.024773979591835,37.650452040816326,34.77522602040816,26.14954795918367,35.83585448,35.83585448
2025-07-14,28.75,28.94,28.12,28.29,4907770.0,-0.0,1.0,0,31.640000000000004,,1.0,-0.013598326359832602,0.9864016736401674,1,0.0,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,33.51,40.372034683678024,26.647965316321976,1.838473250728864,28.68,25.922290123906706,34.195419752186595,31.437709876093294,23.164580247813408,35.206586121600004,35.206586121600004
