date,Open,High,Low,Close,Volume,Moving Average_Returns,Moving Average_Equity,Moving Average_Signal,SMA_Short,SMA_Long,Equity_Curve,RSI_Returns,RSI_Equity,RSI_Signal,RSI,Breakout Range_Returns,Breakout Range_Equity,Breakout Range_Signal,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Returns,Bollinger Bands_Equity,Bollinger Bands_Signal,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2025-08-04,190.29,195.27,190.12,195.04,31547350.0,0.0,1.0,0,,,,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,,,,,,195.04,195.04
2025-08-01,189.025,190.83,187.82,189.13,34832181.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,195.04,195.04,195.04,195.04,195.04,189.13,189.13
2025-07-31,195.71,195.99,191.09,191.9,51329163.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,189.13,189.13,189.13,189.13,189.13,187.82,187.82
2025-07-30,195.6,197.5999,194.685,196.53,32445405.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,191.9,191.9,191.9,191.9,191.9,187.82,187.82
2025-07-29,192.43,195.92,192.08,195.75,41389153.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,196.53,196.53,196.53,196.53,196.53,188.406794,188.406794
2025-07-28,193.65,194.05,190.84,192.58,38139504.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,42.87369640787954,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,195.75,195.75,195.75,195.75,195.75,188.95838035999998,188.95838035999998
2025-07-25,191.98,194.33,191.26,193.18,39785863.0,0.0,1.0,0,,,1.0,0.0,1.0,0,66.94560669456074,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,192.58,192.58,192.58,192.58,192.58,189.4768715384,189.4768715384
2025-07-24,197.03,197.95,191.0,192.17,74881687.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,51.324828263002864,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,193.18,193.18,193.18,193.18,193.18,189.96425324609598,189.96425324609598
2025-07-23,191.5,192.53,189.18,190.23,58681948.0,-0.0,1.0,0,192.94555555555556,,1.0,-0.0,1.0,1,7.999999999999915,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,192.17,192.17,192.17,192.17,192.17,197.95,197.95
2025-07-22,191.495,191.645,187.46,191.34,44660215.0,0.0,1.0,0,192.53444444444443,,1.0,0.005835041791515616,1.0058350417915156,0,21.839080459770187,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,190.23,190.23,190.23,190.23,190.23,197.95,197.95
