date,Open,High,Low,Close,Volume,Moving Average_Returns,Moving Average_Equity,Moving Average_Signal,SMA_Short,SMA_Long,Equity_Curve,RSI_Returns,RSI_Equity,RSI_Signal,RSI,Breakout Range_Returns,Breakout Range_Equity,Breakout Range_Signal,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Returns,Bollinger Bands_Equity,Bollinger Bands_Signal,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2025-08-04,167.03,171.19,166.64,171.04,12679095.0,0.0,1.0,0,,,,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,,,,,,171.04,171.04
2025-08-01,165.475,167.62,164.79,167.33,8928229.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,171.04,171.04,171.04,171.04,171.04,167.33,167.33
2025-07-31,165.93,167.07,164.23,164.74,11036179.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,167.33,167.33,167.33,167.33,167.33,171.19,171.19
2025-07-30,167.695,168.61,166.78,167.26,6189161.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,164.74,164.74,164.74,164.74,164.74,171.0508,171.0508
2025-07-29,166.67,168.7817,166.37,168.11,7663408.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,167.26,167.26,167.26,167.26,167.26,170.914384,170.914384
2025-07-28,167.86,167.94,165.05,166.22,8014640.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,168.11,168.11,168.11,168.11,168.11,170.78069632,170.78069632
2025-07-25,169.75,169.88,167.44,168.3,6255183.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,166.22,166.22,166.22,166.22,166.22,170.64968239360002,170.64968239360002
2025-07-24,169.5,169.99,168.88,169.56,6636918.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,168.3,168.3,168.3,168.3,168.3,170.52128874572801,170.52128874572801
2025-07-23,168.6,169.12,166.59,169.1,10617636.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,169.56,169.56,169.56,169.56,169.56,170.39546297081344,170.39546297081344
2025-07-22,165.0,168.055,164.71,167.93,9287991.0,-0.0,1.0,0,167.959,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,169.1,169.1,169.1,169.1,169.1,170.27215371139718,170.27215371139718
2025-07-21,163.77,164.915,162.78,164.36,8254003.0,-0.0,1.0,0,167.291,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,167.93,167.93,167.93,167.93,167.93,170.15131063716925,170.15131063716925
2025-07-18,163.93,165.1,163.36,163.7,9793046.0,-0.0,1.0,0,166.928,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,164.36,164.36,164.36,164.36,164.36,169.85645821168248,169.85645821168248
2025-07-17,163.18,164.7,162.297,162.98,11295747.0,-0.0,1.0,0,166.752,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,163.7,163.7,163.7,163.7,163.7,169.5733998832152,169.5733998832152
2025-07-16,160.3,166.12,159.8,164.78,22134769.0,0.0,1.0,0,166.50400000000002,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,3.6831928571428563,162.98,157.4552107142857,174.02957857142854,168.50478928571428,151.93042142857144,169.13681589022227,169.13681589022227
2025-07-15,156.36,157.19,154.8,155.17,6873200.0,-0.0,1.0,0,165.20999999999998,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,4.132964795918366,164.78,158.58055280612245,177.1788943877551,170.97944719387755,152.3811056122449,168.38987061900448,168.38987061900448
2025-07-14,156.87,157.47,155.52,156.82,10185632.0,0.0,1.0,0,164.27,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,4.002038739067055,155.17,149.1669418913994,167.17611621720116,161.17305810860057,143.16388378279882,167.03088355710403,167.03088355710403
2025-07-11,157.085,157.18,155.18,156.9,7872172.0,0.0,1.0,0,163.13,,1.0,0.0,1.0,0,29.578278451762046,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,3.859035971990837,156.82,151.03144604201373,168.3971079159725,162.60855395798626,145.2428920840275,165.80779520139362,165.80779520139362
2025-07-10,156.1,159.24,155.8209,157.69,6733128.0,0.0,1.0,0,161.943,164.55499999999998,1.0,0.0,1.0,0,34.794952681388025,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,3.8276119739914924,156.9,151.15858203901277,168.38283592197448,162.64141796098724,145.41716407802554,164.70701568125426,164.70701568125426
2025-07-09,155.79,156.69,155.065,156.28,6147685.0,-0.0,1.0,0,160.661,163.735,1.0,-0.0,1.0,0,36.140235910878125,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,3.741711118706386,157.69,152.07743332194042,168.91513335611916,163.30256667805958,146.46486664388084,163.71631411312885,163.71631411312885
