date,Open,High,Low,Close,Volume,Moving Average_Returns,Moving Average_Equity,Moving Average_Signal,SMA_Short,SMA_Long,Equity_Curve,RSI_Returns,RSI_Equity,RSI_Signal,RSI,Breakout Range_Returns,Breakout Range_Equity,Breakout Range_Signal,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Returns,Bollinger Bands_Equity,Bollinger Bands_Signal,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2025-08-04,290.26,294.32,290.26,294.26,6649542.0,0.0,1.0,0,,,,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,,,,,,294.26,294.26
2025-08-01,290.4,291.795,284.2376,289.37,12007111.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,294.26,294.26,294.26,294.26,294.26,289.37,289.37
2025-07-31,299.14,300.975,295.5,296.24,14749652.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,289.37,289.37,289.37,289.37,289.37,284.2376,284.2376
2025-07-30,297.42,300.61,297.38,299.63,8061742.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,296.24,296.24,296.24,296.24,296.24,284.2376,284.2376
2025-07-29,300.0,301.2931,296.2,297.04,7635719.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,299.63,299.63,299.63,299.63,299.63,284.90709599999997,284.90709599999997
2025-07-28,297.66,299.43,296.82,298.28,5840417.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,297.04,297.04,297.04,297.04,297.04,285.89025624,285.89025624
2025-07-25,296.7,298.9,295.955,298.62,5918875.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,298.28,298.28,298.28,298.28,298.28,286.8144268656,286.8144268656
2025-07-24,297.42,299.5899,296.2,296.55,7001242.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,298.62,298.62,298.62,298.62,298.62,287.683147253664,287.683147253664
2025-07-23,292.84,296.99,292.55,296.76,7083510.0,0.0,1.0,0,296.30555555555554,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,296.55,296.55,296.55,296.55,296.55,288.49974441844415,288.49974441844415
2025-07-22,291.5,293.625,289.18,291.43,6717461.0,-0.0,1.0,0,295.9911111111111,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,296.76,296.76,296.76,296.76,296.76,301.2931,301.2931
2025-07-21,291.0,294.18,290.58,290.97,7898141.0,-0.0,1.0,0,296.1688888888889,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,291.43,291.43,291.43,291.43,291.43,301.050838,301.050838
2025-07-18,289.52,292.5,288.23,291.27,12217018.0,0.0,1.0,0,295.6166666666667,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,290.97,290.97,290.97,290.97,290.97,300.81342124,300.81342124
2025-07-17,283.44,290.2965,283.44,289.9,8509504.0,-0.0,1.0,0,294.53555555555556,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,291.27,291.27,291.27,291.27,291.27,300.31008439040005,300.31008439040005
2025-07-16,288.4,290.73,283.01,285.82,9979768.0,-0.0,1.0,0,293.2888888888889,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,5.6811000000000025,289.9,281.37834999999995,306.94329999999997,298.42165,272.8567,299.29787932697604,299.29787932697604
2025-07-15,288.0,291.95,285.48,286.55,12526110.0,0.0,1.0,0,291.98555555555555,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,5.737450000000001,285.82,277.213825,303.03235,294.426175,268.60765,297.99484898081795,297.99484898081795
2025-07-14,287.07,289.3,285.2556,288.7,9079941.0,0.0,1.0,0,290.8833333333333,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,5.616517857142858,286.55,278.1252232142857,303.39955357142856,294.9747767857143,269.70044642857147,296.7960610623525,296.7960610623525
2025-07-11,285.52,287.38,283.655,286.86,7384674.0,-0.0,1.0,0,289.8066666666666,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,292.8382352941176,306.25132508933905,279.4251454988962,5.575695153061226,288.7,280.3364572704082,305.4270854591837,297.0635427295918,271.9729145408163,295.6931761773643,295.6931761773643
2025-07-10,283.0,288.31,283.0,288.19,8413847.0,0.0,1.0,0,288.8544444444444,,1.0,0.0,1.0,0,42.25567746874199,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,292.4811764705882,306.23370049183677,278.7286524493396,5.556716927842567,286.86,278.5249246082362,303.5301507835277,295.19507539176385,270.18984921647234,294.67852208317515,294.67852208317515
2025-07-09,287.18,287.195,282.48,283.16,11273801.0,-0.0,1.0,0,287.93555555555554,,1.0,-0.0,1.0,0,42.10526315789472,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,292.1158823529412,307.2421557672639,276.98960893861846,5.567665718710954,288.19,279.8385014219336,304.8929971561329,296.5414985780664,271.4870028438671,293.5106698748576,293.5106698748576
2025-07-08,289.275,289.7,280.31,282.78,15440856.0,-0.0,1.0,0,287.02555555555557,,1.0,-0.0,1.0,0,29.506699147381056,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,291.3241176470588,307.45795003136374,275.1902852627539,5.840689595945884,283.16,274.3989656060812,300.6820687878377,291.92103439391883,265.63793121216236,292.1869894898747,292.1869894898747
2025-07-07,295.25,296.04,290.08,291.97,8825732.0,0.0,1.0,0,287.1033333333333,,1.0,0.0,1.0,0,40.0879917184265,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,290.8735294117647,305.7789391958147,275.9681196277147,6.37064033909261,282.78,273.22403949136105,301.8919210172778,292.3359605086389,263.66807898272214,280.31,280.31
2025-07-03,292.15,296.4,291.21,296.0,6541646.0,0.0,1.0,0,287.7811111111111,,1.0,0.0,1.0,0,48.70259481037921,0.0,1.0,0,301.2931,280.31,False,False,1.0,0.0,1.0,0,290.81235294117647,305.50656259096155,276.1181432913914,6.28630888630028,291.97,282.5405366705496,310.82892665890085,301.39946332945044,273.1110733410992,280.31,280.31
2025-07-02,292.04,292.822,289.7,292.0,8158692.0,-0.0,1.0,0,288.46777777777777,,1.0,-0.0,1.0,0,42.670401493930925,-0.0,1.0,0,301.2931,280.31,False,False,1.0,-0.0,1.0,0,290.44294117647064,304.078017432153,276.8078649207883,6.287286822993118,296.0,286.56906976551033,314.86186046897933,305.43093023448967,277.13813953102067,280.9536,280.9536
