date,Open,High,Low,Close,Volume,Moving Average_Returns,Moving Average_Equity,Moving Average_Signal,SMA_Short,SMA_Long,Equity_Curve,RSI_Returns,RSI_Equity,RSI_Signal,RSI,Breakout Range_Returns,Breakout Range_Equity,Breakout Range_Signal,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Returns,Bollinger Bands_Equity,Bollinger Bands_Signal,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2025-08-04,760.0,776.85,758.41,776.37,15801727.0,0.0,1.0,0,,,,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,,,,,,776.37,776.37
2025-08-01,760.73,765.9999,745.31,750.01,19028710.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,776.37,776.37,776.37,776.37,776.37,750.01,750.01
2025-07-31,775.2,784.75,765.51,773.44,38831098.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,750.01,750.01,750.01,750.01,750.01,745.31,745.31
2025-07-30,708.09,708.5,691.2001,695.21,27077286.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,773.44,773.44,773.44,773.44,773.44,784.75,784.75
2025-07-29,720.0,724.47,699.91,700.0,13267032.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,695.21,695.21,695.21,695.21,695.21,784.75,784.75
2025-07-28,715.2,724.7352,712.68,717.63,8715743.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,700.0,700.0,700.0,700.0,700.0,782.879002,782.879002
2025-07-25,716.915,720.6499,711.9,712.68,8271698.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,717.63,717.63,717.63,717.63,717.63,781.04542396,781.04542396
2025-07-24,717.05,723.6239,714.0,714.8,10920836.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,712.68,712.68,712.68,712.68,712.68,779.2485174808,779.2485174808
2025-07-23,706.365,714.6285,704.93,713.58,8771615.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,714.8,714.8,714.8,714.8,714.8,777.4875491311841,777.4875491311841
2025-07-22,716.19,716.6,701.41,704.81,8921064.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,713.58,713.58,713.58,713.58,713.58,775.7618001485604,775.7618001485604
2025-07-21,706.8,717.0,705.76,712.965,9404391.0,0.0,1.0,0,724.6813636363636,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,704.81,704.81,704.81,704.81,704.81,774.0705661455892,774.0705661455892
2025-07-18,702.19,704.71,691.65,704.28,12779752.0,-0.0,1.0,0,718.1277272727273,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,712.965,712.965,712.965,712.965,712.965,772.4131568226774,772.4131568226774
2025-07-17,704.39,705.9,697.105,701.41,11803264.0,-0.0,1.0,0,713.7095454545455,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,704.28,704.28,704.28,704.28,704.28,770.7888956862238,770.7888956862238
2025-07-16,713.37,713.97,699.2701,702.91,13067627.0,0.0,1.0,0,707.2977272727273,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,23.016342857142888,701.41,666.8854857142857,770.4590285714287,735.9345142857143,632.3609714285712,769.1971197724993,769.1971197724993
