date,Open,High,Low,Close,Volume,Moving Average_Returns,Moving Average_Equity,Moving Average_Signal,SMA_Short,SMA_Long,Equity_Curve,RSI_Returns,RSI_Equity,RSI_Signal,RSI,Breakout Range_Returns,Breakout Range_Equity,Breakout Range_Signal,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Returns,Bollinger Bands_Equity,Bollinger Bands_Signal,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2025-08-04,528.27,538.25,528.13,535.64,25349004.0,0.0,1.0,0,,,,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,,,,,,535.64,535.64
2025-08-01,535.0,535.8,520.86,524.11,28977628.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,535.64,535.64,535.64,535.64,535.64,524.11,524.11
2025-07-31,555.225,555.45,531.9,533.5,51617326.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,524.11,524.11,524.11,524.11,524.11,520.86,520.86
2025-07-30,515.17,515.95,509.435,513.24,26380434.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,533.5,533.5,533.5,533.5,533.5,555.45,555.45
2025-07-29,515.53,517.62,511.56,512.57,16469235.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,513.24,513.24,513.24,513.24,513.24,555.45,555.45
2025-07-28,514.08,515.0,510.12,512.5,14308027.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,512.57,512.57,512.57,512.57,512.57,554.5297,554.5297
2025-07-25,512.465,518.29,510.3592,513.71,19125699.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,512.5,512.5,512.5,512.5,512.5,553.6278060000001,553.6278060000001
2025-07-24,508.77,513.67,507.3,510.88,16107000.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,513.71,513.71,513.71,513.71,513.71,552.7439498800001,552.7439498800001
2025-07-23,506.75,506.79,500.7,505.87,16396585.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,510.88,510.88,510.88,510.88,510.88,550.9261918848,550.9261918848
2025-07-22,510.97,511.2,505.27,505.27,13868644.0,-0.0,1.0,0,516.729,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,505.87,505.87,505.87,505.87,505.87,547.912620371712,547.912620371712
2025-07-21,506.705,512.09,505.55,510.06,14066805.0,0.0,1.0,0,514.171,516.1227272727273,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,505.27,505.27,505.27,505.27,505.27,545.0798631494093,545.0798631494093
2025-07-18,514.48,514.64,507.43,510.05,21209666.0,-0.0,1.0,0,512.765,513.7963636363637,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,510.06,510.06,510.06,510.06,510.06,542.4170713604448,542.4170713604448
2025-07-17,505.68,513.37,505.62,511.7,17503129.0,0.0,1.0,0,510.58500000000004,512.6681818181819,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,510.05,510.05,510.05,510.05,510.05,539.914047078818,539.914047078818
