date,Open,High,Low,Close,Volume,Moving Average_Returns,Moving Average_Equity,Moving Average_Signal,SMA_Short,SMA_Long,Equity_Curve,RSI_Returns,RSI_Equity,RSI_Signal,RSI,Breakout Range_Returns,Breakout Range_Equity,Breakout Range_Signal,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Returns,Bollinger Bands_Equity,Bollinger Bands_Signal,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2025-08-04,106.015,107.88,105.46,107.77,14780563.0,0.0,1.0,0,,,,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,,,,,,107.77,107.77
2025-08-01,105.49,106.5,103.38,104.88,24003253.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,107.77,107.77,107.77,107.77,107.77,104.88,104.88
2025-07-31,112.19,112.27,106.94,109.14,29224343.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,104.88,104.88,104.88,104.88,104.88,103.38,103.38
2025-07-30,112.6,114.89,112.41,114.74,16378824.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,109.14,109.14,109.14,109.14,109.14,103.38,103.38
2025-07-29,112.045,113.54,110.67,111.96,16653250.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,114.74,114.74,114.74,114.74,114.74,104.0706,104.0706
2025-07-28,111.72,112.0,109.86,111.25,12932264.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,111.96,111.96,111.96,111.96,111.96,104.719764,104.719764
2025-07-25,110.99,111.5,108.83,111.26,16372323.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,111.25,111.25,111.25,111.25,111.25,105.32997816,105.32997816
2025-07-24,111.06,112.73,110.25,111.73,20293061.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,111.26,111.26,111.26,111.26,111.26,105.90357947039999,105.90357947039999
2025-07-23,109.44,110.289,108.876,109.83,17809995.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,111.73,111.73,111.73,111.73,111.73,106.44276470217599,106.44276470217599
2025-07-22,112.855,113.0,108.125,109.22,27917613.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,109.83,109.83,109.83,109.83,109.83,106.94959882004544,106.94959882004544
2025-07-21,113.585,115.92,112.67,113.23,22189833.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,109.22,109.22,109.22,109.22,109.22,107.42602289084272,107.42602289084272
2025-07-18,114.24,114.8,113.28,114.39,19349851.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,113.23,113.23,113.23,113.23,113.23,108.1055410595753,108.1055410595753
2025-07-17,113.93,114.2,110.95,113.26,34702434.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,114.39,114.39,114.39,114.39,114.39,108.73069777480927,108.73069777480927
2025-07-16,119.025,119.09,114.8103,116.43,30614775.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,4.041357142857143,113.26,107.19796428571429,125.38407142857143,119.32203571428572,101.13592857142858,109.30584195282454,109.30584195282454
2025-07-15,120.94,121.39,119.122,120.11,24958888.0,0.0,1.0,0,,111.94666666666667,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,4.106974489795918,116.43,110.26953826530612,128.75092346938777,122.59046173469389,104.10907653061226,110.28425775754208,110.28425775754208
