date,Open,High,Low,Close,Volume,Moving Average_Returns,Moving Average_Equity,Moving Average_Signal,SMA_Short,SMA_Long,Equity_Curve,RSI_Returns,RSI_Equity,RSI_Signal,RSI,Breakout Range_Returns,Breakout Range_Equity,Breakout Range_Signal,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Returns,Bollinger Bands_Equity,Bollinger Bands_Signal,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2025-08-04,70.5,71.205,70.18,70.53,6543554.0,0.0,1.0,0,,,,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,,,,,,70.53,70.53
2025-08-01,71.43,71.79,70.34,70.4,6628715.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,70.53,70.53,70.53,70.53,70.53,70.4,70.4
2025-07-31,70.41,71.2162,69.685,71.06,8845220.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,70.4,70.4,70.4,70.4,70.4,71.205,71.205
2025-07-30,71.9,72.01,70.93,70.99,6940339.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,71.06,71.06,71.06,71.06,71.06,69.685,69.685
2025-07-29,71.64,72.28,71.05,71.95,7588460.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,70.99,70.99,70.99,70.99,70.99,69.685,69.685
2025-07-28,71.9,72.3,70.97,71.34,8157246.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,71.95,71.95,71.95,71.95,71.95,69.78880000000001,69.78880000000001
2025-07-25,72.1,72.72,71.08,71.85,8074767.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,71.34,71.34,71.34,71.34,71.34,69.93947200000001,69.93947200000001
2025-07-24,72.93,72.975,71.345,71.97,11166118.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,71.85,71.85,71.85,71.85,71.85,70.16191424,70.16191424
2025-07-23,77.5,78.46,72.07,72.82,21219490.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,71.97,71.97,71.97,71.97,71.97,70.443222816,70.443222816
2025-07-22,76.35,77.595,76.35,77.54,9032595.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,-1,72.045,75.96570656897454,68.12429343102546,0.0,72.82,72.82,72.82,72.82,72.82,71.345,71.345
2025-07-21,76.34,77.095,75.96,76.17,8349922.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,0.01766830023213828,1.0176683002321383,0,72.60900000000001,77.07976235109855,68.13823764890147,0.0,77.54,77.54,77.54,77.54,77.54,72.07,72.07
2025-07-18,75.25,76.35,74.975,75.95,7986274.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0176683002321383,0,73.16400000000002,77.77579531202332,68.55220468797671,0.0,76.17,76.17,76.17,76.17,76.17,72.8368,72.8368
2025-07-17,74.51,75.47,74.37,75.18,7174822.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0176683002321383,0,73.576,78.09757671614672,69.05442328385327,0.0,75.95,75.95,75.95,75.95,75.95,73.511584,73.511584
2025-07-16,75.06,75.31,74.26,74.77,8906275.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0176683002321383,0,73.954,78.16925989708821,69.73874010291178,1.9875857142857143,75.18,72.19862142857144,81.14275714285715,78.16137857142857,69.21724285714286,74.10539392,74.10539392
2025-07-15,75.34,75.54,74.185,74.7,8880120.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0176683002321383,0,74.229,78.23925136369283,70.21874863630717,1.9424010204081636,74.77,71.85639846938776,80.59720306122449,77.68360153061224,68.9427969387755,78.46,78.46
2025-07-14,74.4,75.825,74.165,75.04,10420522.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0176683002321383,0,74.599,78.12874163360439,71.06925836639562,1.9222295189504375,74.7,71.81665572157435,80.46668855685131,77.58334427842566,68.9333114431487,78.3745,78.3745
2025-07-11,73.85,74.44,73.48,74.4,8094493.0,-0.0,1.0,0,73.3329411764706,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0176683002321383,0,74.854,77.88583376853022,71.82216623146978,1.896355981882549,75.04,72.19546602717618,80.72906794564766,77.88453397282383,69.35093205435236,78.20612,78.20612
2025-07-10,73.3,74.84,73.0,74.64,6956315.0,0.0,1.0,0,73.57470588235294,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0176683002321383,0,75.12100000000001,77.4870507179687,72.75494928203132,1.8923305546052245,74.4,71.56150416809217,80.07699166381568,77.23849583190784,68.72300833618434,77.9225528,77.9225528
2025-07-09,72.87,73.89,72.675,73.65,8818666.0,-0.0,1.0,0,73.76588235294118,,1.0,-0.0,1.0,0,,-0.0,1.0,0,78.46,69.685,False,False,1.0,-0.0,1.0176683002321383,0,75.20400000000001,77.28206063434159,73.12593936565843,1.8975212292762802,74.64,71.79371815608557,80.33256368782884,77.48628184391443,68.94743631217116,77.528748576,77.528748576
