date,Open,High,Low,Close,Volume,Moving Average_Returns,Moving Average_Equity,Moving Average_Signal,SMA_Short,SMA_Long,Equity_Curve,RSI_Returns,RSI_Equity,RSI_Signal,RSI,Breakout Range_Returns,Breakout Range_Equity,Breakout Range_Signal,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Returns,Bollinger Bands_Equity,Bollinger Bands_Signal,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2025-08-04,245.9,252.91,245.9,252.53,8614784.0,0.0,1.0,0,,,,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,,,,,,252.53,252.53
2025-08-01,247.83,248.41,242.0,244.42,12718218.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,252.53,252.53,252.53,252.53,252.53,244.42,244.42
2025-07-31,255.765,260.87,253.318,253.77,15548726.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,244.42,244.42,244.42,244.42,244.42,242.0,242.0
2025-07-30,248.64,251.05,245.6,250.6,8441378.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,253.77,253.77,253.77,253.77,253.77,242.0,242.0
2025-07-29,248.7,253.07,246.59,249.98,8415324.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,250.6,250.6,250.6,250.6,250.6,242.7548,242.7548
2025-07-28,246.0,247.78,243.42,247.71,6756775.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,249.98,249.98,249.98,249.98,249.98,260.87,260.87
2025-07-25,242.34,245.47,241.43,245.12,7149571.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,247.71,247.71,247.71,247.71,247.71,260.521,260.521
2025-07-24,242.41,244.08,240.5601,242.83,8237851.0,-0.0,1.0,0,248.37,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,245.12,245.12,245.12,245.12,245.12,259.75736,259.75736
2025-07-23,239.95,243.42,238.66,241.9,7255797.0,-0.0,1.0,0,247.04125,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,242.83,242.83,242.83,242.83,242.83,258.6055244,258.6055244
2025-07-22,241.98,242.29,235.4101,238.11,11380866.0,-0.0,1.0,0,246.2525,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,241.9,241.9,241.9,241.9,241.9,257.009882448,257.009882448
2025-07-21,245.31,246.8,243.24,243.54,7348362.0,0.0,1.0,0,244.97375,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,238.11,238.11,238.11,238.11,238.11,254.8499042032,254.8499042032
2025-07-18,248.5,249.68,245.0,245.45,9678072.0,0.0,1.0,0,244.33,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,243.54,243.54,243.54,243.54,243.54,252.90592378288,252.90592378288
2025-07-17,243.34,251.5999,242.01,248.75,17631328.0,0.0,1.0,0,244.17625,,1.0,0.0,1.0,0,,0.0,1.0,0,260.87,235.4101,False,False,1.0,0.0,1.0,0,,,,0.0,245.45,245.45,245.45,245.45,245.45,235.4101,235.4101
2025-07-16,235.5,241.33,233.19,241.3,12597452.0,-0.0,1.0,0,243.375,,1.0,-0.0,1.0,0,,-0.0,1.0,0,260.87,233.19,False,False,1.0,-0.0,1.0,0,,,,8.404264285714287,248.75,236.14360357142857,273.96279285714286,261.35639642857143,223.53720714285714,251.5999,251.5999
2025-07-15,232.405,235.6,229.2,234.96,10728795.0,-0.0,1.0,0,242.10500000000002,,1.0,-0.0,1.0,0,,-0.0,1.0,0,260.87,229.2,False,False,1.0,-0.0,1.0,0,,,,8.66824540816327,241.3,228.2976318877551,267.30473622448983,254.30236811224492,215.2952637755102,251.5999,251.5999
2025-07-14,229.45,230.64,225.12,229.28,11336967.0,-0.0,1.0,0,240.41125,,1.0,-0.0,1.0,0,,-0.0,1.0,0,253.07,225.12,False,False,1.0,-0.0,1.0,0,,,,8.751942164723037,234.96,221.83208675291544,261.2158264941691,248.08791324708457,208.7041735058309,250.703904,250.703904
2025-07-11,231.37,234.0,229.87,230.56,10208178.0,0.0,1.0,0,238.99374999999998,,1.0,0.0,1.0,0,32.971632305068994,0.0,1.0,0,253.07,225.12,False,False,1.0,0.0,1.0,0,,,,8.463946295814248,229.28,216.58408055627862,254.67183888744273,241.97591944372138,203.88816111255727,249.16886976,249.16886976
