date,Open,High,Low,Close,Volume,Moving Average_Returns,Moving Average_Equity,Moving Average_Signal,SMA_Short,SMA_Long,Equity_Curve,RSI_Returns,RSI_Equity,RSI_Signal,RSI,Breakout Range_Returns,Breakout Range_Equity,Breakout Range_Signal,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Returns,Bollinger Bands_Equity,Bollinger Bands_Signal,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2025-08-04,309.08,312.1186,303.0001,309.26,78683905.0,0.0,1.0,0,,,,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,,,,,,309.26,309.26
2025-08-01,306.205,309.31,297.82,302.63,89121446.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,309.26,309.26,309.26,309.26,309.26,302.63,302.63
2025-07-31,319.605,321.37,306.1,308.27,85270919.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,302.63,302.63,302.63,302.63,302.63,297.82,297.82
2025-07-30,322.18,324.4499,311.6164,319.04,83931942.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,308.27,308.27,308.27,308.27,308.27,297.82,297.82
2025-07-29,325.55,326.25,318.25,321.2,87358861.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,319.04,319.04,319.04,319.04,319.04,299.417794,299.417794
2025-07-28,318.45,330.49,315.69,325.59,112673755.0,0.0,1.0,0,,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,321.2,321.2,321.2,321.2,321.2,301.56437048000004,301.56437048000004
2025-07-25,308.74,323.63,308.01,316.06,148227027.0,-0.0,1.0,0,,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,325.59,325.59,325.59,325.59,325.59,304.456933432,304.456933432
2025-07-24,310.0,310.15,300.41,305.3,156966023.0,-0.0,1.0,0,313.41875,,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,316.06,316.06,316.06,316.06,316.06,330.49,330.49
2025-07-23,330.9,336.2,328.67,332.56,92553756.0,0.0,1.0,0,316.33125,,1.0,0.0,1.0,0,,0.0,1.0,0,,,False,False,1.0,0.0,1.0,0,,,,0.0,305.3,305.3,305.3,305.3,305.3,300.41,300.41
2025-07-22,329.74,335.4098,321.55,332.11,77370371.0,-0.0,1.0,1,320.01625,317.202,1.0,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,332.56,332.56,332.56,332.56,332.56,300.41,300.41
2025-07-21,334.4,338.0,326.88,328.49,75768797.0,-0.01090000301105054,0.9890999969889495,1,322.54375000000005,319.125,0.9890999969889495,-0.0,1.0,0,,-0.0,1.0,0,,,False,False,1.0,-0.0,1.0,0,,,,0.0,332.11,332.11,332.11,332.11,332.11,301.1258,301.1258
