Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving Average_Signal,Moving Average_Returns,Moving Average_Equity,SMA_Short,SMA_Long,Equity_Curve,RSI_Signal,RSI_Returns,RSI_Equity,RSI,Breakout Range_Signal,Breakout Range_Returns,Breakout Range_Equity,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Signal,Bollinger Bands_Returns,Bollinger Bands_Equity,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2022-01-03 00:00:00+01:00,9.028947845635484,9.219030776897796,9.028947845635484,9.16675853729248,463912,0.0,0.0,0,,,,,,0,,,,0,,,,,False,False,1.0,0,,,,,,0.0,,,,,,9.16675853729248,9.16675853729248
2022-01-04 00:00:00+01:00,9.152502655146847,9.276056796211256,9.047957261809415,9.066965103149414,698061,0.0,0.0,0,-0.0,1.0,,,1.0,0,-0.0,1.0,,0,-0.0,1.0,,,False,False,1.0,0,-0.0,1.0,,,,0.0,9.16675853729248,9.16675853729248,9.16675853729248,9.16675853729248,9.16675853729248,9.066965103149414,9.066965103149414
2022-01-05 00:00:00+01:00,9.047957671595144,9.176263099015324,8.990932332218494,9.142998695373535,380356,0.0,0.0,0,0.0,1.0,,,1.0,0,0.0,1.0,,0,0.0,1.0,,,False,False,1.0,0,0.0,1.0,,,,0.0,9.066965103149414,9.066965103149414,9.066965103149414,9.066965103149414,9.066965103149414,9.219030776897796,9.219030776897796
2022-01-06 00:00:00+01:00,9.028947618861295,9.071716390619486,8.957666634726612,9.057459831237791,719163,0.0,0.0,0,-0.0,1.0,,,1.0,0,-0.0,1.0,,0,-0.0,1.0,,,False,False,1.0,0,-0.0,1.0,,,,0.0,9.142998695373535,9.142998695373535,9.142998695373535,9.142998695373535,9.142998695373535,9.276056796211256,9.276056796211256
2022-01-07 00:00:00+01:00,9.09547601703026,9.09547601703026,8.924401843898572,8.97667407989502,367426,0.0,0.0,0,-0.0,1.0,,,1.0,0,-0.0,1.0,,0,-0.0,1.0,,,False,False,1.0,0,-0.0,1.0,,,,0.0,9.057459831237791,9.057459831237791,9.057459831237791,9.057459831237791,9.057459831237791,9.26332118975187,9.26332118975187
2022-01-10 00:00:00+01:00,9.019443311926072,9.033699871412068,8.753327212895806,8.772335052490234,532377,0.0,0.0,0,-0.0,1.0,,,1.0,0,-0.0,1.0,,0,-0.0,1.0,,,False,False,1.0,0,-0.0,1.0,,,,0.0,8.97667407989502,8.97667407989502,8.97667407989502,8.97667407989502,8.97667407989502,9.242986029000672,9.242986029000672
2022-01-11 00:00:00+01:00,8.781840213190103,8.952915316819448,8.781840213190103,8.800848960876465,500070,0.0,0.0,0,0.0,1.0,,,1.0,0,0.0,1.0,,0,0.0,1.0,,,False,False,1.0,0,0.0,1.0,,,,0.0,8.772335052490234,8.772335052490234,8.772335052490234,8.772335052490234,8.772335052490234,9.203813323712282,9.203813323712282
2022-01-12 00:00:00+01:00,8.872129562264222,9.052708125418796,8.824608601522407,8.990931510925293,598987,0.0,0.0,0,0.0,1.0,,,1.0,0,0.0,1.0,,0,0.0,1.0,,,False,False,1.0,0,0.0,1.0,,,,0.0,8.800848960876465,8.800848960876465,8.800848960876465,8.800848960876465,8.800848960876465,9.167774434846963,9.167774434846963
2022-01-13 00:00:00+01:00,8.98142684357484,9.128741001305244,8.919650231103025,9.033699989318848,457968,0.0,0.0,0,0.0,1.0,,,1.0,0,0.0,1.0,,0,0.0,1.0,,,False,False,1.0,0,0.0,1.0,,,,0.0,8.990931510925293,8.990931510925293,8.990931510925293,8.990931510925293,8.990931510925293,9.13461865709087,9.13461865709087
2022-01-14 00:00:00+01:00,8.952915406039496,8.962419779977392,8.829361264007801,8.924403190612793,507253,0.0,0.0,0,-0.0,1.0,8.993307495117188,,1.0,0,-0.0,1.0,,0,-0.0,1.0,,,False,False,1.0,0,-0.0,1.0,,,,0.0,9.033699989318848,9.033699989318848,9.033699989318848,9.033699989318848,9.033699989318848,9.128741001305244,9.128741001305244
2022-01-17 00:00:00+01:00,9.028948273998854,9.157254598583284,8.919650696635946,9.100229263305664,1809795,0.0,0.0,0,0.0,1.0,8.986654567718507,,1.0,0,0.0,1.0,,0,0.0,1.0,,,False,False,1.0,0,0.0,1.0,,,,0.0,8.924403190612793,8.924403190612793,8.924403190612793,8.924403190612793,8.924403190612793,8.753327212895806,8.753327212895806
2022-01-18 00:00:00+01:00,9.024195036026486,9.071715992157952,8.967170613778206,8.97667407989502,585585,0.0,0.0,0,-0.0,1.0,8.977625465393066,,1.0,0,-0.0,1.0,,0,-0.0,1.0,,,False,False,1.0,0,-0.0,1.0,,,,0.0,9.100229263305664,9.100229263305664,9.100229263305664,9.100229263305664,9.100229263305664,8.761405760609556,8.761405760609556
2022-01-19 00:00:00+01:00,8.886386149690631,9.071716900127184,8.829360815347956,8.98617935180664,614648,0.0,0.0,0,0.0,1.0,8.961943531036377,,1.0,0,0.0,1.0,,0,0.0,1.0,,,False,False,1.0,0,0.0,1.0,,,,0.0,8.97667407989502,8.97667407989502,8.97667407989502,8.97667407989502,8.97667407989502,8.76932273736903,8.76932273736903
2022-01-20 00:00:00+01:00,9.01469128589572,9.16675853729248,8.92440246003794,9.16675853729248,354439,0.0,0.0,0,0.0,1.0,8.972873401641845,,1.0,0,0.0,1.0,,0,0.0,1.0,,,False,False,1.0,0,0.0,1.0,,,,0.21010969733208779,8.98617935180664,8.67101480580851,9.616508443802903,9.301343897804772,8.355850259810378,8.777081374593315,8.777081374593315
2022-01-21 00:00:00+01:00,9.07646935885763,9.22853571314596,8.824608893075728,8.948163032531738,870759,0.0,0.0,0,-0.0,1.0,8.970022296905517,,1.0,0,-0.0,1.0,43.274868556943005,0,-0.0,1.0,,,False,False,1.0,0,-0.0,1.0,,,,0.22395377752766957,9.16675853729248,8.830827871000976,9.838619869875489,9.502689203583985,8.494897204709472,8.792668461101282,8.792668461101282
